episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,policy_reward_min/shared_policy,policy_reward_max/shared_policy,policy_reward_mean/shared_policy,hist_stats/episode_reward,hist_stats/episode_lengths,hist_stats/policy_shared_policy_reward,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/shared_policy/learner_stats/allreduce_latency,info/learner/shared_policy/learner_stats/cur_kl_coeff,info/learner/shared_policy/learner_stats/cur_lr,info/learner/shared_policy/learner_stats/total_loss,info/learner/shared_policy/learner_stats/policy_loss,info/learner/shared_policy/learner_stats/vf_loss,info/learner/shared_policy/learner_stats/vf_explained_var,info/learner/shared_policy/learner_stats/kl,info/learner/shared_policy/learner_stats/entropy,info/learner/shared_policy/learner_stats/entropy_coeff
-600.0,-600.0,-600.0,10001.0,1,1,20000,0,40000,False,1,1,2de53_00000,3d52f98b96684a08a77e9a23840c4aca,2024-01-08_10-35-37,1704681337,177.15321731567383,177.15321731567383,7232,DESKTOP-CC49RT1,127.0.0.1,177.15321731567383,0,1,-300.0,-300.0,-300.0,[-600.0],[10001],"[-300.0, -300.0]",0.18620306262671485,1.0023533561862557,0.05352385645717104,7.374054968020337,0.0,172775.42,115.757,0.997,20058842.659,4414.905,4530.109,1.966,20000,40000,20000,40000,19.16414342629482,48.55059760956175,0.0,0.2,0.0005,195.0217712402344,-0.0029788305186480234,195.0563201904297,0.0008224844932556152,0.0029872208885223794,3.215794086456299,0.01
-600.0,-600.0,-600.0,10001.0,2,1,40000,0,80000,False,3,2,2de53_00000,3d52f98b96684a08a77e9a23840c4aca,2024-01-08_10-38-43,1704681523,186.55389833450317,363.707115650177,7232,DESKTOP-CC49RT1,127.0.0.1,363.707115650177,0,2,-300.0,-300.0,-300.0,"[-600.0, -600.0, -600.0]","[10001, 10001, 10001]","[-300.0, -300.0, -300.0, -300.0, -300.0, -300.0]",0.20137410786762086,1.039239222148318,0.054415926921079404,7.4512978592445505,0.0,178863.345,111.817,0.997,20063640.277,5221.565,3830.269,2.721,40000,80000,40000,80000,29.04452830188679,50.21886792452831,0.0,0.1,0.0005,156.92011108398438,-0.0017176436931826355,156.95369567871094,0.0033866167068481445,0.001759702238800276,3.2030989646911623,0.01
-400.0,-600.0,-560.0,10001.0,2,1,60000,0,120000,False,5,3,2de53_00000,3d52f98b96684a08a77e9a23840c4aca,2024-01-08_10-41-58,1704681718,194.9142644405365,558.6213800907135,7232,DESKTOP-CC49RT1,127.0.0.1,558.6213800907135,0,3,-300.0,-200.0,-280.0,"[-600.0, -600.0, -600.0, -400.0, -600.0]","[10001, 10001, 10001, 10001, 10001]","[-300.0, -300.0, -300.0, -300.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0]",0.21257960355907884,1.0714322422722389,0.055518933602313844,7.511080785722799,0.0,184071.707,108.653,0.83,24100578.433,5654.842,3536.792,2.641,60000,120000,60000,120000,37.61600000000001,70.2949090909091,0.0,0.05,0.0005,124.58780517578126,-0.0016513894854672361,124.62130126953124,0.006478464603424073,0.0014512570584295226,3.1924845695495607,0.01
-200.0,-600.0,-485.7142857142857,10001.0,2,1,80000,0,160000,False,7,4,2de53_00000,3d52f98b96684a08a77e9a23840c4aca,2024-01-08_10-45-13,1704681913,194.12391829490662,752.7452983856201,7232,DESKTOP-CC49RT1,127.0.0.1,752.7452983856201,0,4,-300.0,-100.0,-242.85714285714286,"[-600.0, -600.0, -600.0, -400.0, -600.0, -400.0, -200.0]","[10001, 10001, 10001, 10001, 10001, 10001, 10001]","[-300.0, -300.0, -300.0, -300.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -100.0, -100.0]",0.22114028590952106,1.0940310667528041,0.05668695913622124,7.554663931656308,0.0,187024.043,106.938,0.622,32134104.578,5445.291,3672.898,2.481,80000,160000,80000,160000,31.706909090909097,77.80836363636364,0.0,0.025,0.0005,194.04120788574218,-0.0011152282959316028,194.07427368164062,0.0074737310409545895,0.0009372678763440945,3.198210906982422,0.01
-200.0,-600.0,-466.6666666666667,10001.0,2,1,100000,0,200000,False,9,5,2de53_00000,3d52f98b96684a08a77e9a23840c4aca,2024-01-08_10-48-21,1704682101,188.73825454711914,941.4835529327393,7232,DESKTOP-CC49RT1,127.0.0.1,941.4835529327393,0,5,-300.0,-100.0,-233.33333333333334,"[-600.0, -600.0, -600.0, -400.0, -600.0, -400.0, -200.0, -400.0, -400.0]","[10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001]","[-300.0, -300.0, -300.0, -300.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -100.0, -100.0, -200.0, -200.0, -200.0, -200.0]",0.22655286488237047,1.1078267360838383,0.057428884528901256,7.5794656148737705,0.0,187370.322,106.74,0.597,33487457.086,5323.04,3757.251,2.277,100000,200000,100000,200000,25.45676691729323,81.52330827067668,0.0,0.0125,0.0005,96.17865753173828,-0.0011474703795928854,96.21161804199218,0.017821431159973145,0.0014251113360451485,3.1830371379852296,0.01
-200.0,-600.0,-472.72727272727275,10001.0,2,1,120000,0,240000,False,11,6,2de53_00000,3d52f98b96684a08a77e9a23840c4aca,2024-01-08_10-51-29,1704682289,187.54310631752014,1129.0266592502594,7232,DESKTOP-CC49RT1,127.0.0.1,1129.0266592502594,0,6,-300.0,-100.0,-236.36363636363637,"[-600.0, -600.0, -600.0, -400.0, -600.0, -400.0, -200.0, -400.0, -400.0, -400.0, -600.0]","[10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001]","[-300.0, -300.0, -300.0, -300.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -100.0, -100.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0]",0.22979890616584814,1.116144812540987,0.05786505327633829,7.595353496407589,0.0,187380.378,106.735,0.498,40184948.503,5264.438,3799.076,2.142,120000,240000,120000,240000,23.06578947368421,81.62218045112782,0.0,0.00625,0.0005,141.98079833984374,-0.0013731833111494396,142.01405639648436,0.021070313453674317,0.0019934496778704846,3.1904510974884035,0.01
-200.0,-600.0,-476.9230769230769,10001.0,2,1,140000,0,280000,False,13,7,2de53_00000,3d52f98b96684a08a77e9a23840c4aca,2024-01-08_10-54-36,1704682476,186.80641055107117,1315.8330698013306,7232,DESKTOP-CC49RT1,127.0.0.1,1315.8330698013306,0,7,-300.0,-100.0,-238.46153846153845,"[-600.0, -600.0, -600.0, -400.0, -600.0, -400.0, -200.0, -400.0, -400.0, -400.0, -600.0, -600.0, -400.0]","[10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001]","[-300.0, -300.0, -300.0, -300.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -100.0, -100.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -300.0, -300.0, -200.0, -200.0]",0.23211383818621545,1.1214434552962729,0.05815583223041289,7.60582033487374,0.0,187331.346,106.763,0.501,39921310.762,5193.453,3851.002,2.045,140000,280000,140000,280000,22.440530303030304,81.50871212121211,0.0,0.003125,0.0005,90.38606414794921,-0.0013070090086385378,90.41924285888672,0.03300842046737671,0.001747148137431953,3.1874104022979735,0.01
-200.0,-600.0,-493.3333333333333,10001.0,2,1,160000,0,320000,False,15,8,2de53_00000,3d52f98b96684a08a77e9a23840c4aca,2024-01-08_10-57-45,1704682665,189.5357735157013,1505.3688433170319,7232,DESKTOP-CC49RT1,127.0.0.1,1505.3688433170319,0,8,-300.0,-100.0,-246.66666666666666,"[-600.0, -600.0, -600.0, -400.0, -600.0, -400.0, -200.0, -400.0, -400.0, -400.0, -600.0, -600.0, -400.0, -600.0, -600.0]","[10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001]","[-300.0, -300.0, -300.0, -300.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -100.0, -100.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0, -300.0, -300.0]",0.2339110562933673,1.1252537627218604,0.058346999565839684,7.614640979647599,0.0,187532.595,106.648,0.563,35518611.199,5217.86,3832.989,2.036,160000,320000,160000,320000,23.829477611940302,76.9320895522388,0.0,0.0015625,0.0005,156.11190795898438,-0.0011881587812118232,156.14497985839844,0.014607036113739013,0.002142475795264964,3.1884154796600344,0.01
-200.0,-600.0,-505.88235294117646,10001.0,2,1,180000,0,360000,False,17,9,2de53_00000,3d52f98b96684a08a77e9a23840c4aca,2024-01-08_11-01-02,1704682862,196.43630194664001,1701.8051452636719,7232,DESKTOP-CC49RT1,127.0.0.1,1701.8051452636719,0,9,-300.0,-100.0,-252.94117647058823,"[-600.0, -600.0, -600.0, -400.0, -600.0, -400.0, -200.0, -400.0, -400.0, -400.0, -600.0, -600.0, -400.0, -600.0, -600.0, -600.0, -600.0]","[10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001]","[-300.0, -300.0, -300.0, -300.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -100.0, -100.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0, -300.0, -300.0, -300.0, -300.0, -300.0, -300.0]",0.23545760149956585,1.1291173414311475,0.05856015621852618,7.62593679622761,0.0,188600.266,106.044,0.501,39958437.599,5161.089,3875.151,2.029,180000,360000,180000,360000,31.600722021660648,49.705054151624545,0.0,0.00078125,0.0005,129.15447082519532,-0.0012592926245648783,129.18759765625,0.018180906772613525,0.0009447523745180986,3.1870775699615477,0.01
-200.0,-600.0,-505.2631578947368,10001.0,2,1,200000,0,400000,False,19,10,2de53_00000,3d52f98b96684a08a77e9a23840c4aca,2024-01-08_11-04-13,1704683053,190.88066816329956,1892.6858134269714,7232,DESKTOP-CC49RT1,127.0.0.1,1892.6858134269714,0,10,-300.0,-100.0,-252.6315789473684,"[-600.0, -600.0, -600.0, -400.0, -600.0, -400.0, -200.0, -400.0, -400.0, -400.0, -600.0, -600.0, -400.0, -600.0, -600.0, -600.0, -600.0, -400.0, -600.0]","[10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001, 10001]","[-300.0, -300.0, -300.0, -300.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0, -200.0, -200.0, -100.0, -100.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -300.0, -300.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0, -300.0, -300.0, -300.0, -300.0, -300.0, -300.0, -200.0, -200.0, -300.0, -300.0]",0.23674962051261791,1.132439861363826,0.05873416049143258,7.635527959524241,0.0,188799.021,105.933,0.45,44398263.999,5147.593,3885.311,1.926,200000,400000,200000,400000,25.8450184501845,53.43837638376384,0.0,0.000390625,0.0005,127.53942108154297,-0.0013829161327518547,127.57265014648438,0.04769539833068848,0.0009485337965494222,3.184516096115112,0.01
